,agb_tha,yt_c,tdq_c,twq_c,tcq_c,yp_mm,wmp_mm,pet,ai,density_km2,bioge_realm,cont_id,continent,biome,n_samples,site_id
1511,32.235521651062285,10.365754993338333,16.605921130431327,5.618399061654744,4.856460521095677,972.6184210526316,105.80263157894737,1062.4736842105262,9244.513157894737,33231.534736842106,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,76.0,15660.0
1512,89.73816895834538,9.833254827969316,16.225318549335867,5.077985563139984,4.122746430013491,869.5797101449275,97.3768115942029,1066.1304347826087,8127.04347826087,40613.846666666665,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,69.0,15663.0
1513,70.99132768161202,10.870394177797461,16.826068621723593,7.622088308093929,5.528180659318171,883.6974789915967,96.73109243697479,1076.7563025210084,8226.252100840336,30860.081344537815,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,120.0,15703.0
1514,58.409419640724884,11.685427042154165,17.03702864280114,7.621512825672443,6.875868659753066,1556.4807692307693,214.5,1067.4807692307693,14648.557692307691,48794.63038461538,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,52.0,15730.0
1515,104.34291746970105,7.678302990423666,14.82520747829128,2.556238737460729,1.468747715088161,1015.1891891891892,116.64864864864865,1035.3918918918919,9023.256756756757,37894.60121621622,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,74.0,15739.0
1516,124.85506255961587,12.71126661462299,17.783752813177593,10.973091723555225,8.151790901765985,1020.0508474576271,114.1864406779661,1075.6101694915253,9463.07627118644,26369.447881355933,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,118.0,15799.0
1517,92.24630936441635,12.772565787693239,17.34160038210311,9.27937896296663,8.566128937703258,1464.8301886792453,206.35849056603774,1039.188679245283,14222.207547169812,39055.63679245283,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,53.0,15805.0
1518,65.47827166022464,11.092808070935702,16.999238867508737,6.511015339901573,5.790991149450603,1331.907894736842,173.39473684210526,1088.1973684210527,12305.052631578947,56110.41763157895,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,76.0,15809.0
1519,214.77714481276706,10.560915816063975,16.819297940123317,7.47925162782856,4.976081782696294,1253.4117647058824,158.54901960784315,1080.5098039215686,11408.901960784313,61737.43705882353,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,51.0,15825.0
1520,117.31974525893109,13.355755638657955,17.535051646985504,10.183023067942838,9.367857983237819,1238.859649122807,171.33333333333334,1051.0701754385964,11654.561403508771,49418.88105263158,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,57.0,15835.0
1521,84.23555341026417,11.506343680542784,16.921700812005376,7.366246886067576,6.606082296990729,1288.2077922077922,165.1038961038961,1045.7142857142858,12182.415584415585,57007.92194805195,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,77.0,15844.0
1522,151.25868135381157,12.303262866627087,17.835448109019886,9.866897149519486,7.058012078025124,1225.7272727272727,132.76363636363635,1073.4545454545455,11381.709090909091,46325.15654545454,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,55.0,15867.0
1523,278.12295230701443,12.031292642865862,17.426963715326217,8.779277529035296,6.948958368528457,1294.1309523809523,139.29761904761904,1047.2380952380952,12508.5,60831.14773809524,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,84.0,15868.0
1524,77.62650753126928,12.4042153309301,17.628611102546614,9.422536309232417,7.71477117735086,1084.5567010309278,121.71134020618557,1066.6907216494844,10109.731958762886,33212.94649484536,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,97.0,15894.0
1525,70.12271786608956,13.397826164647153,17.51202990883275,10.304106059827303,9.509970072696083,1233.3684210526317,169.44210526315788,1046.1263157894737,11698.4,41871.95273684211,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,95.0,15905.0
1526,94.29810666780931,12.446584292820521,17.656572693503946,10.44995708070043,7.647845512161607,925.9124423963134,102.6036866359447,1051.857142857143,8773.63133640553,32053.185760368662,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,217.0,15922.0
1527,82.02526707702934,12.106907484266493,17.28742503060235,9.796931325064765,7.484669309192234,1083.0,120.8,1064.6888888888889,10138.111111111111,24573.840777777776,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,90.0,15930.0
1528,92.88920174634653,11.172548739115397,16.984716765085857,7.964833283424378,5.812111004193624,889.9,95.51666666666667,1035.1,8804.25,31473.849166666667,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,60.0,15939.0
1529,47.535879938712505,13.989033126831055,18.027807172139486,10.919143295288086,10.0245374361674,983.3333333333334,137.9,1110.6333333333334,9034.816666666668,60134.60683333334,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,60.0,15970.0
1530,175.6362213478499,11.964055073566925,17.647576918968788,7.507732917100955,6.640083288535093,1186.8076923076924,128.89743589743588,1083.1666666666667,10997.52564102564,28466.17653846154,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,78.0,15990.0
